"",INFORMATION TECHNOLOGY[Full Time] (Generated on 05/06/2023 09:17 PM)
"",Course Code Course
ITT301,WEB APPLICATION DEVELOPMENT
ITT303,OPERATING SYSTEM CONCEPTS
ITT305,DATA COMMUNICATION AND NETWORKING
ITT307,FORMAL LANGUAGES AND AUTOMATA THEORY
ITT309,MANAGEMENT FOR SOFTWARE ENGINEERS
MCN301,DISASTER MANAGEMENT
ITL331,OPERATING SYSTEM AND NETWORK PROGRAMMING
"",LAB
ITL333,WEB APPLICATION DEVELOPMENT LAB
Register No,,Course Code (Grade)
TRV20IT046,"MCN301(D), ITT301(B+), ITT303(C+), ITT305(B), ITT307(B+), ITT309(C+), ITL331(B+),ITL333(B+)"
TRV20IT047,"MCN301(D), ITT301(P), ITT303(F), ITT305(F), ITT307(F), ITT309(D), ITL331(D), ITL333(C+)"
TRV20IT048,"MCN301(C), ITT301(D), ITT303(B+), ITT305(F), ITT307(D), ITT309(D), ITL331(A+), ITL333(A+)"
TRV20IT049,"MCN301(C), ITT301(A), ITT303(A), ITT305(C+), ITT307(A), ITT309(C+), ITL331(S), ITL333(S)"
TRV20IT050,"MCN301(D), ITT301(B), ITT303(C), ITT305(D), ITT307(A), ITT309(D), ITL331(A+), ITL333(B)"
TRV20IT051,"MCN301(C+), ITT301(A), ITT303(B), ITT305(B+), ITT307(B), ITT309(C+), ITL331(S), ITL333(S)"
TRV20IT052,"MCN301(F), ITT301(F), ITT303(F), ITT305(F), ITT307(F), ITT309(F), ITL331(F), ITL333(C)"
TRV20IT053,"MCN301(A+), ITT301(B), ITT303(B), ITT305(C+), ITT307(C+), ITT309(C+), ITL331(B), ITL333(C)"
TRV20IT054,"MCN301(C), ITT301(A), ITT303(A+), ITT305(S), ITT307(A), ITT309(B), ITL331(S), ITL333(S)"
TRV20IT056,"MCN301(F), ITT301(F), ITT303(F), ITT305(F), ITT307(F), ITT309(F), ITL331(B+), ITL333(C)"
TRV20IT057,"MCN301(F), ITT301(F), ITT303(F), ITT305(F), ITT307(F), ITT309(Absent), ITL331(F), ITL333(D)"
TRV20IT058,"MCN301(C), ITT301(D), ITT303(C), ITT305(P), ITT307(P), ITT309(P), ITL331(A+), ITL333(C)"
TRV20IT059,"MCN301(P), ITT301(C), ITT303(D), ITT305(D), ITT307(D), ITT309(C), ITL331(A+), ITL333(C+)"
TRV20IT060,"MCN301(C+), ITT301(A), ITT303(A), ITT305(A+), ITT307(A+), ITT309(A+), ITL331(S), ITL333(C+)"
TRV20IT061,"MCN301(P), ITT301(C), ITT303(D), ITT305(F), ITT307(D), ITT309(D), ITL331(S), ITL333(S)"
TRV20IT062,"MCN301(C), ITT301(C), ITT303(C), ITT305(C+), ITT307(P), ITT309(C), ITL331(A+), ITL333(C)"
TRV20IT064,"MCN301(B), ITT301(D), ITT303(C), ITT305(C+), ITT307(C), ITT309(D), ITL331(D), ITL333(B+)"
TRV20IT065,"MCN301(A), ITT301(B), ITT303(B+), ITT305(B+), ITT307(D), ITT309(C+), ITL331(B+), ITL333(C+)"
TRV20IT066,"MCN301(Absent), ITT301(F), ITT303(F), ITT305(F), ITT307(Absent), ITT309(Absent), ITL331(B),ITL333(B)"
TRV20IT067,"MCN301(D), ITT301(F), ITT303(P), ITT305(F), ITT307(Absent), ITT309(D), ITL331(B+),ITL333(B+)"
TRV20IT068,"MCN301(C), ITT301(C+), ITT303(F), ITT305(D), ITT307(F), ITT309(C), ITL331(A), ITL333(A+)"
"ELECTRICAL AND ELECTRONICS ENGINEERING[Full Time] (Generated on 05/06/2023 09:17PM)",
Course Code,Course
EET301,POWER SYSTEMS I
EET303,MICROPROCESSORS AND MICROCONTROLLERS
EET305,SIGNALS AND SYSTEMS
EET307,SYNCHRONOUS AND INDUCTION MACHINES
HUT300,INDUSTRIAL ECONOMICS AND FOREIGN TRADE
MCN301,DISASTER MANAGEMENT
EEL331,MICROPROCESSORS AND MICROCONTROLLERS LAB
EEL333,ELECTRICAL MACHINES LAB II
Register No,Course Code (Grade)
IDK20EE011,"HUT300(C), MCN301(F), EET301(C), EET303(F), EET305(F), EET307(F), EEL331(F), EEL333(B)"
LTRV19EE062,HUT300(P)
LTRV19EE064,EET305(C+)
LTRV20EE066,"HUT300(F), MCN301(P), EET301(P), EET303(F), EET305(F), EET307(F), EEL331(F), EEL333(A)"
LTRV20EE067,"HUT300(P), MCN301(P), EET301(D), EET303(F), EET305(F), EET307(C), EEL331(B),"
"",EEL333(A)
LTRV20EE068,"HUT300(P), MCN301(D), EET301(D), EET303(F), EET305(F), EET307(F), EEL331(F), EEL333(B)"
LTRV20EE069,"HUT300(P), MCN301(P), EET301(P), EET303(F), EET305(F), EET307(F), EEL331(C), EEL333(A)"
LTRV20EE070,"HUT300(C), MCN301(P), EET301(C), EET303(D), EET305(C), EET307(C+), EEL331(C+),"
"",EEL333(S)
LTRV20EE071,"HUT300(C), MCN301(C), EET301(B), EET303(C), EET305(D), EET307(A+), EEL331(A+),"
"",EEL333(A+)
MAC20EE050,"HUT300(C+), MCN301(P), EET301(B), EET303(B+), EET305(A), EET307(B+), EEL331(S),"
"",EEL333(S)
TRV19EE007,EET307(Absent)
TRV19EE008,"HUT300(Absent), MCN301(F), EET301(Absent), EET305(Absent), EET307(Absent)"
TRV19EE010,HUT300(C+)
TRV19EE011,"HUT300(D), EEL331(S), EEL333(B+)"
TRV19EE016,"EET303(P), EET305(P)"
TRV19EE017,"HUT300(C+), EET301(C), EET303(C+), EET305(D), EET307(C+)"
TRV19EE036,EET301(Absent)
TRV19EE040,EET305(B)
TRV19EE043,EET305(D)
TRV19EE046,EET305(C)
TRV19EE058,EET303(P)
TRV19EE059,HUT300(C)
TRV20EE001,"HUT300(F), MCN301(D), EET301(D), EET303(D), EET305(F), EET307(P), EEL331(D),EEL333(C+)"
TRV20EE002,"HUT300(F), MCN301(F), EET301(F), EET303(F), EET305(F), EET307(F), EEL331(C+),EEL333(C)"
TRV20EE003,"HUT300(C), MCN301(P), EET301(D), EET303(D), EET305(D), EET307(F), EEL331(D),EEL333(B)"
TRV20EE004,"HUT300(B+), MCN301(C+), EET301(C), EET303(C+), EET305(C+), EET307(C+), EEL331(B+),EEL333(A+)"
TRV20EE005,"HUT300(P), MCN301(P), EET301(C), EET303(C+), EET305(B+), EET307(F), EEL331(A+),EEL333(A)"
TRV20EE006,"HUT300(S), MCN301(B+), EET301(A), EET303(S), EET305(S), EET307(S), EEL331(S),EEL333(S)"
TRV20EE007,"HUT300(P), MCN301(P), EET301(D), EET303(P), EET305(D), EET307(C+), EEL331(B+),EEL333(A+)"
TRV20EE008,"HUT300(C+), MCN301(C), EET301(C+), EET303(P), EET305(C), EET307(C+), EEL331(B+),EEL333(S)"
TRV20EE009,"HUT300(P), MCN301(P), EET301(D), EET303(C), EET305(C+), EET307(F), EEL331(C),EEL333(B+)"
TRV20EE010,"HUT300(B+), MCN301(C), EET301(C), EET303(A), EET305(C), EET307(C+), EEL331(S),EEL333(B+)"
TRV20EE011,"HUT300(C), MCN301(B), EET301(C+), EET303(C), EET305(B), EET307(F), EEL331(B),EEL333(B+)"
TRV20EE012,"HUT300(F), MCN301(P), EET301(F), EET303(F), EET305(F), EET307(F), EEL331(D),EEL333(C+)"
TRV20EE013,"HUT300(C), MCN301(C), EET301(F), EET303(D), EET305(F), EET307(F), EEL331(A),EEL333(B)"
TRV20EE014,"HUT300(D), MCN301(C+), EET301(D), EET303(P), EET305(C), EET307(D), EEL331(C+),EEL333(A)"
TRV20EE015,"HUT300(F), MCN301(F), EET301(B), EET303(F), EET305(F), EET307(F), EEL331(B+),EEL333(A)"
TRV20EE016,"HUT300(C+), MCN301(A+), EET301(B+), EET303(A), EET305(B+), EET307(B+), EEL331(B+),EEL333(S)"
TRV20EE017,"HUT300(B+), MCN301(B+), EET301(B+), EET303(S), EET305(A), EET307(A), EEL331(S),EEL333(S)"
TRV20EE018,"HUT300(A), MCN301(B), EET301(A), EET303(S), EET305(A+), EET307(A), EEL331(S),EEL333(S)"
TRV20EE019,"HUT300(D), MCN301(B), EET301(F), EET303(F), EET305(F), EET307(F), EEL331(D), EEL333(C)"
TRV20EE020,"HUT300(B), MCN301(A), EET301(A), EET303(C+), EET305(A), EET307(A), EEL331(A+),EEL333(A+)"
TRV20EE021,"HUT300(C+), MCN301(B+), EET301(F), EET303(F), EET305(F), EET307(F), EEL331(P),EEL333(A)"
TRV20EE022,"HUT300(P), MCN301(P), EET301(C), EET303(F), EET305(P), EET307(P), EEL331(D),EEL333(B)"
TRV20EE023,"HUT300(B), MCN301(B), EET301(A), EET303(S), EET305(A+), EET307(B+), EEL331(S),EEL333(S)"
TRV20EE024,"HUT300(C+), MCN301(B), EET301(F), EET303(C+), EET305(C+), EET307(B), EEL331(A),EEL333(D)"
TRV20EE025,"HUT300(C+), MCN301(C), EET301(B), EET303(A), EET305(A), EET307(A), EEL331(A+),EEL333(S)"
TRV20EE026,"HUT300(C+), MCN301(B), EET301(B), EET303(B), EET305(B), EET307(C+), EEL331(A+),EEL333(A)"
TRV20EE027,"HUT300(C+), MCN301(B+), EET301(B), EET303(B), EET305(C), EET307(D), EEL331(S),EEL333(A+)"
TRV20EE028,"HUT300(B), MCN301(B), EET301(S), EET303(S), EET305(S), EET307(S), EEL331(S),EEL333(S)"
TRV20EE029,"HUT300(B), MCN301(A+), EET301(C), EET303(A), EET305(B), EET307(D), EEL331(B+),EEL333(A)"
TRV20EE030,"HUT300(C+), MCN301(A), EET301(C), EET303(B), EET305(C+), EET307(B+), EEL331(A+),EEL333(A+)"
